full_date,date,weekday,time,mood,activities,note
2020-10-23,23 de outubro,sexta-feira,07:56,bem,"ouvindo música | busão","atravessando a ponte no busão leito caralho eu tô bem pprt"
2020-10-22,22 de outubro,quinta-feira,18:42,neutro,"meu quarto | estudando","nossa começou a bater maior tristeza do mundo pprt fiquei derrotado demais meu deus enquanto estava estudando geometria"
2020-10-22,22 de outubro,quinta-feira,11:27,neutro,"meu quarto | estudando","minha energia está abaixando devido a saudade, porém sou forte e isso vai fazer bem pra mim e pra ela"
2020-10-21,21 de outubro,quarta-feira,22:07,neutro,"meu quarto | estudando | boa refeição | vídeo/live","saudades bateu forde ao ponte de querer muito ligar pra ela e estudando geometria"
2020-10-21,21 de outubro,quarta-feira,09:46,bem,"meu quarto | estudando | descanso","amarradão na aula do professor, gosto muito de resolução de problemas"
2020-10-20,20 de outubro,terça-feira,14:00,bem,"skate/longboard | busão | barca | trem","sai lá de bangu de trem até casa de gigi fazendo um speed run interessante  passei pelo centro do Rio e consegui fazer umas brincadeiras na praça xv e gastei uma ondinha interessante  eh isso, e foi bem sinistro dar o presente pra gigi"
2020-10-20,20 de outubro,terça-feira,10:30,neutro,"skate/longboard","mano esperando busão apenas com um skate e minha mente, eu acho que ele taquei minha paciência em um nível muito sério e acebi de me fudendo, mas caralho fiquei 4h no ponto, foi interessante como foi menos que isso"
2020-10-20,20 de outubro,terça-feira,07:41,bem,"ouvindo música | busão","dando passeio pelo rio de ônibus ouvindo música"
2020-10-19,19 de outubro,segunda-feira,19:30,bem,"meu quarto | família","ensinando programação pro meu pai muito bom"
2020-10-19,19 de outubro,segunda-feira,16:00,bem,"estudando | bike | bom papo | sofá | droga | clima fino | descanso | cão | Nicotina","fui na casa de pk e passei a tarde com ele lá suave, apenas no meu platô.  e saindo de lá sentei num bar pra fumar um cigarro muito bom mano pprt fiquei viajando dms tipo mó trip  a merda do bagulho é que meu celular criou uma linha verde do diabo  mano eu viajei nela pprt me senti doido dks puta que pariu isso é pika"
2020-10-19,19 de outubro,segunda-feira,13:35,bem,"meu quarto | estudando | bom papo | amigos","estudando programação com micheliznho muito bom calcular matemática"
2020-10-19,19 de outubro,segunda-feira,01:51,neutro,"meu quarto | na cama | sonho","mano a única coisa que eu está a fazendo era isso era ficar de cama e perdendo, puta que pariu que horrível  a melhor coisa dessa tarde foi sonhar com Giovana que a gnt estava em um lugar paradisíaco com ela"
